status,asset,market_id,best_expression,side,contract_question,entry_time,target_exit_time,exit_time,entry_price,exit_price,pnl_pct,entry_pm_yes_price,exit_pm_yes_price,entry_edge_score,entry_edge_pts_per_dte,entry_edge_pts_per_dte_7d_change,exit_edge_score,model_version,iv_resolution,entry_flags,note
open,GOLD,2074203,buy_yes,yes,"Will Gold (XAUUSD) hit (HIGH) $4,900 in May?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.38000000,,,0.37500000,,7.55356103,0.39239278,,,relative_value_heatmap_v2_one_touch,valuations_fallback,,No archive at or after target exit yet.
open,BTC,2132769,buy_yes,yes,"Will Bitcoin reach $120,000 in May?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.00300000,,,0.00250000,,7.63585063,0.39666757,,,relative_value_heatmap_v2_one_touch,cme_snapshot,cheap_vs_underlying_cap_bearish,No archive at or after target exit yet.
open,BTC,2132771,buy_yes,yes,"Will Bitcoin reach $110,000 in May?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.00600000,,,0.00550000,,7.01526842,0.36442953,,,relative_value_heatmap_v2_one_touch,cme_snapshot,cheap_vs_underlying_cap_bearish,No archive at or after target exit yet.
open,GOLD,1294368,sell_yes_or_buy_no,no,"Will Gold (GC) hit (HIGH) $6,000 by end of December?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.68000000,,,0.32500000,,-8.93091351,-0.03848149,,,relative_value_heatmap_v2_one_touch,valuations_fallback,,No archive at or after target exit yet.
open,GOLD,1294366,sell_yes_or_buy_no,no,"Will Gold (GC) hit (HIGH) $8,000 by end of December?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.93000000,,,0.07500000,,-6.38627616,-0.02751717,,,relative_value_heatmap_v2_one_touch,valuations_fallback,cheap_vs_underlying_cap_bearish,No archive at or after target exit yet.
open,BTC,701496,buy_yes,yes,"Will Bitcoin reach $100,000 by December 31, 2026?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.43000000,,,0.42500000,,22.90347399,0.09817528,,,relative_value_heatmap_v2_one_touch,cme_snapshot,,No archive at or after target exit yet.
open,BTC,1345531,buy_yes,yes,"Will Bitcoin reach $90,000 by December 31, 2026?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.69000000,,,0.68000000,,20.13293481,0.08629942,,,relative_value_heatmap_v2_one_touch,cme_snapshot,,No archive at or after target exit yet.
open,BTC,701495,buy_yes,yes,"Will Bitcoin reach $110,000 by December 31, 2026?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.30000000,,,0.29500000,,18.48885385,0.07925210,,,relative_value_heatmap_v2_one_touch,cme_snapshot,,No archive at or after target exit yet.
open,BTC,701494,buy_yes,yes,"Will Bitcoin reach $120,000 by December 31, 2026?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.18000000,,,0.17500000,,17.27971731,0.07406916,,,relative_value_heatmap_v2_one_touch,cme_snapshot,cheap_vs_underlying_cap_bearish,No archive at or after target exit yet.
open,BTC,701501,sell_yes_or_buy_no,no,"Will Bitcoin dip to $55,000 by December 31, 2026?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.57000000,,,0.43500000,,-15.76147408,-0.06756124,,,relative_value_heatmap_v2_one_touch,cme_snapshot,,No archive at or after target exit yet.
open,BTC,1339767,sell_yes_or_buy_no,no,"Will Bitcoin dip to $50,000 by December 31, 2026?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.66000000,,,0.35000000,,-12.92966027,-0.05542273,,,relative_value_heatmap_v2_one_touch,cme_snapshot,,No archive at or after target exit yet.
open,BTC,701493,buy_yes,yes,"Will Bitcoin reach $130,000 by December 31, 2026?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.14000000,,,0.13500000,,12.44165381,0.05333090,,,relative_value_heatmap_v2_one_touch,cme_snapshot,cheap_vs_underlying_cap_bearish,No archive at or after target exit yet.
open,BTC,701502,sell_yes_or_buy_no,no,"Will Bitcoin dip to $45,000 by December 31, 2026?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.74000000,,,0.26500000,,-8.62482425,-0.03697013,,,relative_value_heatmap_v2_one_touch,cme_snapshot,,No archive at or after target exit yet.
open,BTC,701491,buy_yes,yes,"Will Bitcoin reach $150,000 by December 31, 2026?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.07000000,,,0.06500000,,7.90136272,0.03386903,,,relative_value_heatmap_v2_one_touch,cme_snapshot,cheap_vs_underlying_cap_bearish,No archive at or after target exit yet.
open,BTC,701492,buy_yes,yes,"Will Bitcoin reach $140,000 by December 31, 2026?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.12000000,,,0.11000000,,7.06672883,0.03029139,,,relative_value_heatmap_v2_one_touch,cme_snapshot,cheap_vs_underlying_cap_bearish,No archive at or after target exit yet.
open,BTC,1339768,sell_yes_or_buy_no,no,"Will Bitcoin dip to $40,000 by December 31, 2026?",2026-05-12T22:00:00Z,2026-05-19T22:00:00Z,,0.80000000,,,0.20500000,,-5.43658057,-0.02330379,,,relative_value_heatmap_v2_one_touch,cme_snapshot,,No archive at or after target exit yet.
